month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds,reason_for_delay
2019-12-01,S08000020,75plus,2398,77,All Delay Reasons
2019-12-01,S08000020,75plus,2025,65,Health and Social Care Reasons
2019-12-01,S08000020,75plus,42,1,Patient and Family Related Reasons
2019-12-01,S08000020,75plus,311,10,Code 9 AWI
2019-12-01,S08000020,75plus,20,1,Code 9 Non-AWI
2019-12-01,S08000022,18plus,3770,122,All Delay Reasons
2019-12-01,S08000022,18plus,2720,88,Health and Social Care Reasons
2019-12-01,S08000022,18plus,155,5,Patient and Family Related Reasons
2019-12-01,S08000022,18plus,536,17,Code 9 AWI
2019-12-01,S08000022,18plus,359,12,Code 9 Non-AWI
2019-12-01,S08000022,18-74,1337,43,All Delay Reasons
2019-12-01,S08000022,18-74,829,27,Health and Social Care Reasons
2019-12-01,S08000022,18-74,4,0,Patient and Family Related Reasons
2019-12-01,S08000022,18-74,194,6,Code 9 AWI
2019-12-01,S08000022,18-74,310,10,Code 9 Non-AWI
2019-12-01,S08000022,75plus,2433,78,All Delay Reasons
2019-12-01,S08000022,75plus,1891,61,Health and Social Care Reasons
2019-12-01,S08000022,75plus,151,5,Patient and Family Related Reasons
2019-12-01,S08000022,75plus,342,11,Code 9 AWI
2019-12-01,S08000022,75plus,49,2,Code 9 Non-AWI
2019-12-01,S08000024,18plus,7320,236,All Delay Reasons
2019-12-01,S08000024,18plus,6035,195,Health and Social Care Reasons
2019-12-01,S08000024,18plus,331,11,Patient and Family Related Reasons
2019-12-01,S08000024,18plus,848,27,Code 9 AWI
2019-12-01,S08000024,18plus,106,3,Code 9 Non-AWI
2019-12-01,S08000024,18-74,2256,73,All Delay Reasons
2019-12-01,S08000024,18-74,1972,64,Health and Social Care Reasons
2019-12-01,S08000024,18-74,18,1,Patient and Family Related Reasons
2019-12-01,S08000024,18-74,191,6,Code 9 AWI
2019-12-01,S08000024,18-74,75,2,Code 9 Non-AWI
2019-12-01,S08000024,75plus,5064,163,All Delay Reasons
2019-12-01,S08000024,75plus,4063,131,Health and Social Care Reasons
2019-12-01,S08000024,75plus,313,10,Patient and Family Related Reasons
2019-12-01,S08000024,75plus,657,21,Code 9 AWI
2019-12-01,S08000024,75plus,31,1,Code 9 Non-AWI
2019-12-01,S08000025,18plus,77,2,All Delay Reasons
2019-12-01,S08000025,18plus,37,1,Health and Social Care Reasons
2019-12-01,S08000025,18plus,2,0,Patient and Family Related Reasons
2019-12-01,S08000025,18plus,31,1,Code 9 AWI
2019-12-01,S08000025,18plus,7,0,Code 9 Non-AWI
2019-12-01,S08000025,18-74,22,1,All Delay Reasons
2019-12-01,S08000025,18-74,15,0,Health and Social Care Reasons
2019-12-01,S08000025,18-74,0,0,Patient and Family Related Reasons
2019-12-01,S08000025,18-74,0,0,Code 9 AWI
2019-12-01,S08000025,18-74,7,0,Code 9 Non-AWI
2019-12-01,S08000025,75plus,55,2,All Delay Reasons
2019-12-01,S08000025,75plus,22,1,Health and Social Care Reasons
2019-12-01,S08000025,75plus,2,0,Patient and Family Related Reasons
2019-12-01,S08000025,75plus,31,1,Code 9 AWI
2019-12-01,S08000025,75plus,0,0,Code 9 Non-AWI
2019-12-01,S08000026,18plus,170,5,All Delay Reasons
2019-12-01,S08000026,18plus,170,5,Health and Social Care Reasons
2019-12-01,S08000026,18plus,0,0,Patient and Family Related Reasons
2019-12-01,S08000026,18plus,0,0,Code 9 AWI
2019-12-01,S08000026,18plus,0,0,Code 9 Non-AWI
2019-12-01,S08000026,18-74,64,2,All Delay Reasons
2019-12-01,S08000026,18-74,64,2,Health and Social Care Reasons
2019-12-01,S08000026,18-74,0,0,Patient and Family Related Reasons
2019-12-01,S08000026,18-74,0,0,Code 9 AWI
2019-12-01,S08000026,18-74,0,0,Code 9 Non-AWI
2019-12-01,S08000026,75plus,106,3,All Delay Reasons
2019-12-01,S08000026,75plus,106,3,Health and Social Care Reasons
2019-12-01,S08000026,75plus,0,0,Patient and Family Related Reasons
2019-12-01,S08000026,75plus,0,0,Code 9 AWI
2019-12-01,S08000026,75plus,0,0,Code 9 Non-AWI
2019-12-01,S08000028,18plus,548,18,All Delay Reasons
2019-12-01,S08000028,18plus,369,12,Health and Social Care Reasons
2019-12-01,S08000028,18plus,0,0,Patient and Family Related Reasons
2019-12-01,S08000028,18plus,31,1,Code 9 AWI
2019-12-01,S08000028,18plus,148,5,Code 9 Non-AWI
2019-12-01,S08000028,18-74,134,4,All Delay Reasons
2019-12-01,S08000028,18-74,85,3,Health and Social Care Reasons
2019-12-01,S08000028,18-74,0,0,Patient and Family Related Reasons
2019-12-01,S08000028,18-74,0,0,Code 9 AWI
2019-12-01,S08000028,18-74,49,2,Code 9 Non-AWI
2019-12-01,S08000028,75plus,414,13,All Delay Reasons
2019-12-01,S08000028,75plus,284,9,Health and Social Care Reasons
2019-12-01,S08000028,75plus,0,0,Patient and Family Related Reasons
2019-12-01,S08000028,75plus,31,1,Code 9 AWI
2019-12-01,S08000028,75plus,99,3,Code 9 Non-AWI
2019-12-01,S08000029,18plus,3465,112,All Delay Reasons
2019-12-01,S08000029,18plus,2337,75,Health and Social Care Reasons
2019-12-01,S08000029,18plus,12,0,Patient and Family Related Reasons
2019-12-01,S08000029,18plus,821,26,Code 9 AWI
2019-12-01,S08000029,18plus,295,10,Code 9 Non-AWI
2019-12-01,S08000029,18-74,1270,41,All Delay Reasons
2019-12-01,S08000029,18-74,721,23,Health and Social Care Reasons
2019-12-01,S08000029,18-74,0,0,Patient and Family Related Reasons
2019-12-01,S08000029,18-74,267,9,Code 9 AWI
2019-12-01,S08000029,18-74,282,9,Code 9 Non-AWI
2019-12-01,S08000029,75plus,2195,71,All Delay Reasons
2019-12-01,S08000029,75plus,1616,52,Health and Social Care Reasons
2019-12-01,S08000029,75plus,12,0,Patient and Family Related Reasons
2019-12-01,S08000029,75plus,554,18,Code 9 AWI
2019-12-01,S08000029,75plus,13,0,Code 9 Non-AWI
2019-12-01,S08000030,18plus,2714,88,All Delay Reasons
2019-12-01,S08000030,18plus,2134,69,Health and Social Care Reasons
2019-12-01,S08000030,18plus,44,1,Patient and Family Related Reasons
2019-12-01,S08000030,18plus,284,9,Code 9 AWI
2019-12-01,S08000030,18plus,252,8,Code 9 Non-AWI
2019-12-01,S08000030,18-74,915,30,All Delay Reasons
2019-12-01,S08000030,18-74,605,20,Health and Social Care Reasons
2019-12-01,S08000030,18-74,11,0,Patient and Family Related Reasons
2019-12-01,S08000030,18-74,51,2,Code 9 AWI
2019-12-01,S08000030,18-74,248,8,Code 9 Non-AWI
2019-12-01,S08000030,75plus,1799,58,All Delay Reasons
2019-12-01,S08000030,75plus,1529,49,Health and Social Care Reasons
2019-12-01,S08000030,75plus,33,1,Patient and Family Related Reasons
2019-12-01,S08000030,75plus,233,8,Code 9 AWI
2019-12-01,S08000030,75plus,4,0,Code 9 Non-AWI
2019-12-01,S08000031,18plus,7337,237,All Delay Reasons
2019-12-01,S08000031,18plus,5324,172,Health and Social Care Reasons
2019-12-01,S08000031,18plus,325,10,Patient and Family Related Reasons
2019-12-01,S08000031,18plus,1218,39,Code 9 AWI
2019-12-01,S08000031,18plus,470,15,Code 9 Non-AWI
2019-12-01,S08000031,18-74,3058,99,All Delay Reasons
2019-12-01,S08000031,18-74,2067,67,Health and Social Care Reasons
2019-12-01,S08000031,18-74,118,4,Patient and Family Related Reasons
2019-12-01,S08000031,18-74,424,14,Code 9 AWI
2019-12-01,S08000031,18-74,449,14,Code 9 Non-AWI
2019-12-01,S08000031,75plus,4279,138,All Delay Reasons
2019-12-01,S08000031,75plus,3257,105,Health and Social Care Reasons
2019-12-01,S08000031,75plus,207,7,Patient and Family Related Reasons
2019-12-01,S08000031,75plus,794,26,Code 9 AWI
2019-12-01,S08000031,75plus,21,1,Code 9 Non-AWI
2019-12-01,S08000032,18plus,7107,229,All Delay Reasons
2019-12-01,S08000032,18plus,5950,192,Health and Social Care Reasons
2019-12-01,S08000032,18plus,199,6,Patient and Family Related Reasons
2019-12-01,S08000032,18plus,743,24,Code 9 AWI
2019-12-01,S08000032,18plus,215,7,Code 9 Non-AWI
2019-12-01,S08000032,18-74,2377,77,All Delay Reasons
2019-12-01,S08000032,18-74,1856,60,Health and Social Care Reasons
2019-12-01,S08000032,18-74,44,1,Patient and Family Related Reasons
2019-12-01,S08000032,18-74,281,9,Code 9 AWI
2019-12-01,S08000032,18-74,196,6,Code 9 Non-AWI
2019-12-01,S08000032,75plus,4730,153,All Delay Reasons
2019-12-01,S08000032,75plus,4094,132,Health and Social Care Reasons
2019-12-01,S08000032,75plus,155,5,Patient and Family Related Reasons
2019-12-01,S08000032,75plus,462,15,Code 9 AWI
2019-12-01,S08000032,75plus,19,1,Code 9 Non-AWI
2019-12-01,S92000003,18plus,45404,1465,All Delay Reasons
2019-12-01,S92000003,18plus,35530,1146,Health and Social Care Reasons
2019-12-01,S92000003,18plus,1326,43,Patient and Family Related Reasons
2019-12-01,S92000003,18plus,5998,193,Code 9 AWI
2019-12-01,S92000003,18plus,2550,82,Code 9 Non-AWI
2019-12-01,S92000003,18-74,14987,483,All Delay Reasons
2019-12-01,S92000003,18-74,10762,347,Health and Social Care Reasons
2019-12-01,S92000003,18-74,261,8,Patient and Family Related Reasons
2019-12-01,S92000003,18-74,1751,56,Code 9 AWI
2019-12-01,S92000003,18-74,2213,71,Code 9 Non-AWI
2019-12-01,S92000003,75plus,30417,981,All Delay Reasons
2019-12-01,S92000003,75plus,24768,799,Health and Social Care Reasons
2019-12-01,S92000003,75plus,1065,34,Patient and Family Related Reasons
2019-12-01,S92000003,75plus,4247,137,Code 9 AWI
2019-12-01,S92000003,75plus,337,11,Code 9 Non-AWI
2020-01-01,S08000015,18plus,4662,150,All Delay Reasons
2020-01-01,S08000015,18plus,3851,124,Health and Social Care Reasons
2020-01-01,S08000015,18plus,31,1,Patient and Family Related Reasons
2020-01-01,S08000015,18plus,551,18,Code 9 AWI
2020-01-01,S08000015,18plus,229,7,Code 9 Non-AWI
2020-01-01,S08000015,18-74,1283,41,All Delay Reasons
2020-01-01,S08000015,18-74,1042,34,Health and Social Care Reasons
2020-01-01,S08000015,18-74,0,0,Patient and Family Related Reasons
2020-01-01,S08000015,18-74,124,4,Code 9 AWI
2020-01-01,S08000015,18-74,117,4,Code 9 Non-AWI
2020-01-01,S08000015,75plus,3379,109,All Delay Reasons
2020-01-01,S08000015,75plus,2809,91,Health and Social Care Reasons
2020-01-01,S08000015,75plus,31,1,Patient and Family Related Reasons
2020-01-01,S08000015,75plus,427,14,Code 9 AWI
2020-01-01,S08000015,75plus,112,4,Code 9 Non-AWI
2020-01-01,S08000016,18plus,1112,36,All Delay Reasons
2020-01-01,S08000016,18plus,932,30,Health and Social Care Reasons
2020-01-01,S08000016,18plus,39,1,Patient and Family Related Reasons
2020-01-01,S08000016,18plus,122,4,Code 9 AWI
2020-01-01,S08000016,18plus,19,1,Code 9 Non-AWI
2020-01-01,S08000016,18-74,435,14,All Delay Reasons
2020-01-01,S08000016,18-74,327,11,Health and Social Care Reasons
2020-01-01,S08000016,18-74,39,1,Patient and Family Related Reasons
2020-01-01,S08000016,18-74,50,2,Code 9 AWI
2020-01-01,S08000016,18-74,19,1,Code 9 Non-AWI
2020-01-01,S08000016,75plus,677,22,All Delay Reasons
2020-01-01,S08000016,75plus,605,20,Health and Social Care Reasons
2020-01-01,S08000016,75plus,0,0,Patient and Family Related Reasons
2020-01-01,S08000016,75plus,72,2,Code 9 AWI
2020-01-01,S08000016,75plus,0,0,Code 9 Non-AWI
2020-01-01,S08000017,18plus,1559,50,All Delay Reasons
2020-01-01,S08000017,18plus,1297,42,Health and Social Care Reasons
2020-01-01,S08000017,18plus,55,2,Patient and Family Related Reasons
2020-01-01,S08000017,18plus,119,4,Code 9 AWI
2020-01-01,S08000017,18plus,88,3,Code 9 Non-AWI
2020-01-01,S08000017,18-74,511,16,All Delay Reasons
2020-01-01,S08000017,18-74,371,12,Health and Social Care Reasons
2020-01-01,S08000017,18-74,34,1,Patient and Family Related Reasons
2020-01-01,S08000017,18-74,31,1,Code 9 AWI
2020-01-01,S08000017,18-74,75,2,Code 9 Non-AWI
2020-01-01,S08000017,75plus,1048,34,All Delay Reasons
2020-01-01,S08000017,75plus,926,30,Health and Social Care Reasons
2020-01-01,S08000017,75plus,21,1,Patient and Family Related Reasons
2020-01-01,S08000017,75plus,88,3,Code 9 AWI
2020-01-01,S08000017,75plus,13,0,Code 9 Non-AWI
2020-01-01,S08000019,18plus,2475,80,All Delay Reasons
2020-01-01,S08000019,18plus,1870,60,Health and Social Care Reasons
2020-01-01,S08000019,18plus,62,2,Patient and Family Related Reasons
2020-01-01,S08000019,18plus,312,10,Code 9 AWI
2020-01-01,S08000019,18plus,231,7,Code 9 Non-AWI
2020-01-01,S08000019,18-74,587,19,All Delay Reasons
2020-01-01,S08000019,18-74,318,10,Health and Social Care Reasons
2020-01-01,S08000019,18-74,31,1,Patient and Family Related Reasons
2020-01-01,S08000019,18-74,73,2,Code 9 AWI
2020-01-01,S08000019,18-74,165,5,Code 9 Non-AWI
2020-01-01,S08000019,75plus,1888,61,All Delay Reasons
2020-01-01,S08000019,75plus,1552,50,Health and Social Care Reasons
2020-01-01,S08000019,75plus,31,1,Patient and Family Related Reasons
2020-01-01,S08000019,75plus,239,8,Code 9 AWI
2020-01-01,S08000019,75plus,66,2,Code 9 Non-AWI
2020-01-01,S08000020,18plus,3572,115,All Delay Reasons
2020-01-01,S08000020,18plus,2830,91,Health and Social Care Reasons
2020-01-01,S08000020,18plus,172,6,Patient and Family Related Reasons
2020-01-01,S08000020,18plus,441,14,Code 9 AWI
2020-01-01,S08000020,18plus,129,4,Code 9 Non-AWI
2020-01-01,S08000020,18-74,1066,34,All Delay Reasons
2020-01-01,S08000020,18-74,877,28,Health and Social Care Reasons
2020-01-01,S08000020,18-74,3,0,Patient and Family Related Reasons
2020-01-01,S08000020,18-74,70,2,Code 9 AWI
2020-01-01,S08000020,18-74,116,4,Code 9 Non-AWI
2020-01-01,S08000020,75plus,2506,81,All Delay Reasons
2020-01-01,S08000020,75plus,1953,63,Health and Social Care Reasons
2020-01-01,S08000020,75plus,169,5,Patient and Family Related Reasons
2020-01-01,S08000020,75plus,371,12,Code 9 AWI
2020-01-01,S08000020,75plus,13,0,Code 9 Non-AWI
2020-01-01,S08000022,18plus,3918,126,All Delay Reasons
2020-01-01,S08000022,18plus,2550,82,Health and Social Care Reasons
2020-01-01,S08000022,18plus,124,4,Patient and Family Related Reasons
2020-01-01,S08000022,18plus,627,20,Code 9 AWI
2020-01-01,S08000022,18plus,617,20,Code 9 Non-AWI
2020-01-01,S08000022,18-74,1264,41,All Delay Reasons
2020-01-01,S08000022,18-74,644,21,Health and Social Care Reasons
2020-01-01,S08000022,18-74,8,0,Patient and Family Related Reasons
2020-01-01,S08000022,18-74,189,6,Code 9 AWI
2020-01-01,S08000022,18-74,423,14,Code 9 Non-AWI
2020-01-01,S08000022,75plus,2654,86,All Delay Reasons
2020-01-01,S08000022,75plus,1906,61,Health and Social Care Reasons
2020-01-01,S08000022,75plus,116,4,Patient and Family Related Reasons
2020-01-01,S08000022,75plus,438,14,Code 9 AWI
2020-01-01,S08000022,75plus,194,6,Code 9 Non-AWI
2020-01-01,S08000024,18plus,8735,282,All Delay Reasons
2020-01-01,S08000024,18plus,7737,250,Health and Social Care Reasons
2020-01-01,S08000024,18plus,220,7,Patient and Family Related Reasons
2020-01-01,S08000024,18plus,598,19,Code 9 AWI
2020-01-01,S08000024,18plus,180,6,Code 9 Non-AWI
2020-01-01,S08000024,18-74,2515,81,All Delay Reasons
2020-01-01,S08000024,18-74,2265,73,Health and Social Care Reasons
2020-01-01,S08000024,18-74,0,0,Patient and Family Related Reasons
2020-01-01,S08000024,18-74,137,4,Code 9 AWI
2020-01-01,S08000024,18-74,113,4,Code 9 Non-AWI
2020-01-01,S08000024,75plus,6220,201,All Delay Reasons
2020-01-01,S08000024,75plus,5472,177,Health and Social Care Reasons
2020-01-01,S08000024,75plus,220,7,Patient and Family Related Reasons
2020-01-01,S08000024,75plus,461,15,Code 9 AWI
2020-01-01,S08000024,75plus,67,2,Code 9 Non-AWI
2020-01-01,S08000025,18plus,44,1,All Delay Reasons
2020-01-01,S08000025,18plus,28,1,Health and Social Care Reasons
2020-01-01,S08000025,18plus,0,0,Patient and Family Related Reasons
2020-01-01,S08000025,18plus,16,1,Code 9 AWI
2020-01-01,S08000025,18plus,0,0,Code 9 Non-AWI
2020-01-01,S08000025,18-74,6,0,All Delay Reasons
2020-01-01,S08000025,18-74,6,0,Health and Social Care Reasons
2020-01-01,S08000025,18-74,0,0,Patient and Family Related Reasons
2020-01-01,S08000025,18-74,0,0,Code 9 AWI
2020-01-01,S08000025,18-74,0,0,Code 9 Non-AWI
2020-01-01,S08000025,75plus,38,1,All Delay Reasons
2020-01-01,S08000025,75plus,22,1,Health and Social Care Reasons
2020-01-01,S08000025,75plus,0,0,Patient and Family Related Reasons
2020-01-01,S08000025,75plus,16,1,Code 9 AWI
2020-01-01,S08000025,75plus,0,0,Code 9 Non-AWI
2020-01-01,S08000026,18plus,99,3,All Delay Reasons
2020-01-01,S08000026,18plus,71,2,Health and Social Care Reasons
2020-01-01,S08000026,18plus,28,1,Patient and Family Related Reasons
2020-01-01,S08000026,18plus,0,0,Code 9 AWI
2020-01-01,S08000026,18plus,0,0,Code 9 Non-AWI
2020-01-01,S08000026,18-74,39,1,All Delay Reasons
2020-01-01,S08000026,18-74,39,1,Health and Social Care Reasons
2020-01-01,S08000026,18-74,0,0,Patient and Family Related Reasons
2020-01-01,S08000026,18-74,0,0,Code 9 AWI
2020-01-01,S08000026,18-74,0,0,Code 9 Non-AWI
2020-01-01,S08000026,75plus,60,2,All Delay Reasons
2020-01-01,S08000026,75plus,32,1,Health and Social Care Reasons
2020-01-01,S08000026,75plus,28,1,Patient and Family Related Reasons
2020-01-01,S08000026,75plus,0,0,Code 9 AWI
2020-01-01,S08000026,75plus,0,0,Code 9 Non-AWI
2020-01-01,S08000028,18plus,443,14,All Delay Reasons
2020-01-01,S08000028,18plus,312,10,Health and Social Care Reasons
2020-01-01,S08000028,18plus,0,0,Patient and Family Related Reasons
2020-01-01,S08000028,18plus,1,0,Code 9 AWI
2020-01-01,S08000028,18plus,130,4,Code 9 Non-AWI
2020-01-01,S08000028,18-74,150,5,All Delay Reasons
2020-01-01,S08000028,18-74,140,5,Health and Social Care Reasons
2020-01-01,S08000028,18-74,0,0,Patient and Family Related Reasons
2020-01-01,S08000028,18-74,0,0,Code 9 AWI
2020-01-01,S08000028,18-74,10,0,Code 9 Non-AWI
2020-01-01,S08000028,75plus,293,9,All Delay Reasons
2020-01-01,S08000028,75plus,172,6,Health and Social Care Reasons
2020-01-01,S08000028,75plus,0,0,Patient and Family Related Reasons
2020-01-01,S08000028,75plus,1,0,Code 9 AWI
2020-01-01,S08000028,75plus,120,4,Code 9 Non-AWI
2020-01-01,S08000029,18plus,3569,115,All Delay Reasons
2020-01-01,S08000029,18plus,2435,79,Health and Social Care Reasons
2020-01-01,S08000029,18plus,36,1,Patient and Family Related Reasons
2020-01-01,S08000029,18plus,804,26,Code 9 AWI
2020-01-01,S08000029,18plus,294,9,Code 9 Non-AWI
2020-01-01,S08000029,18-74,1321,43,All Delay Reasons
2020-01-01,S08000029,18-74,721,23,Health and Social Care Reasons
2020-01-01,S08000029,18-74,0,0,Patient and Family Related Reasons
2020-01-01,S08000029,18-74,306,10,Code 9 AWI
2020-01-01,S08000029,18-74,294,9,Code 9 Non-AWI
2020-01-01,S08000029,75plus,2248,73,All Delay Reasons
2020-01-01,S08000029,75plus,1714,55,Health and Social Care Reasons
2020-01-01,S08000029,75plus,36,1,Patient and Family Related Reasons
2020-01-01,S08000029,75plus,498,16,Code 9 AWI
2020-01-01,S08000029,75plus,0,0,Code 9 Non-AWI
2020-01-01,S08000030,18plus,2583,83,All Delay Reasons
2020-01-01,S08000030,18plus,1896,61,Health and Social Care Reasons
2020-01-01,S08000030,18plus,0,0,Patient and Family Related Reasons
2020-01-01,S08000030,18plus,402,13,Code 9 AWI
2020-01-01,S08000030,18plus,285,9,Code 9 Non-AWI
2020-01-01,S08000030,18-74,919,30,All Delay Reasons
2020-01-01,S08000030,18-74,561,18,Health and Social Care Reasons
2020-01-01,S08000030,18-74,0,0,Patient and Family Related Reasons
2020-01-01,S08000030,18-74,135,4,Code 9 AWI
2020-01-01,S08000030,18-74,223,7,Code 9 Non-AWI
2020-01-01,S08000030,75plus,1664,54,All Delay Reasons
2020-01-01,S08000030,75plus,1335,43,Health and Social Care Reasons
2020-01-01,S08000030,75plus,0,0,Patient and Family Related Reasons
2020-01-01,S08000030,75plus,267,9,Code 9 AWI
2020-01-01,S08000030,75plus,62,2,Code 9 Non-AWI
2020-01-01,S08000031,18plus,8306,268,All Delay Reasons
2020-01-01,S08000031,18plus,5705,184,Health and Social Care Reasons
2020-01-01,S08000031,18plus,378,12,Patient and Family Related Reasons
2020-01-01,S08000031,18plus,1729,56,Code 9 AWI
2020-01-01,S08000031,18plus,494,16,Code 9 Non-AWI
2020-01-01,S08000031,18-74,3538,114,All Delay Reasons
2020-01-01,S08000031,18-74,2174,70,Health and Social Care Reasons
2020-01-01,S08000031,18-74,127,4,Patient and Family Related Reasons
2020-01-01,S08000031,18-74,743,24,Code 9 AWI
2020-01-01,S08000031,18-74,494,16,Code 9 Non-AWI
2020-01-01,S08000031,75plus,4768,154,All Delay Reasons
2020-01-01,S08000031,75plus,3531,114,Health and Social Care Reasons
2020-01-01,S08000031,75plus,251,8,Patient and Family Related Reasons
2020-01-01,S08000031,75plus,986,32,Code 9 AWI
2020-01-01,S08000031,75plus,0,0,Code 9 Non-AWI
2020-01-01,S08000032,18plus,6452,208,All Delay Reasons
2020-01-01,S08000032,18plus,5234,169,Health and Social Care Reasons
2020-01-01,S08000032,18plus,253,8,Patient and Family Related Reasons
2020-01-01,S08000032,18plus,770,25,Code 9 AWI
2020-01-01,S08000032,18plus,195,6,Code 9 Non-AWI
2020-01-01,S08000032,18-74,2040,66,All Delay Reasons
2020-01-01,S08000032,18-74,1508,49,Health and Social Care Reasons
2020-01-01,S08000032,18-74,33,1,Patient and Family Related Reasons
2020-01-01,S08000032,18-74,310,10,Code 9 AWI
2020-01-01,S08000032,18-74,189,6,Code 9 Non-AWI
2020-01-01,S08000032,75plus,4412,142,All Delay Reasons
2020-01-01,S08000032,75plus,3726,120,Health and Social Care Reasons
2020-01-01,S08000032,75plus,220,7,Patient and Family Related Reasons
2020-01-01,S08000032,75plus,460,15,Code 9 AWI
2020-01-01,S08000032,75plus,6,0,Code 9 Non-AWI
2020-01-01,S92000003,18plus,47529,1533,All Delay Reasons
2020-01-01,S92000003,18plus,36748,1185,Health and Social Care Reasons
2020-01-01,S92000003,18plus,1398,45,Patient and Family Related Reasons
2020-01-01,S92000003,18plus,6492,209,Code 9 AWI
2020-01-01,S92000003,18plus,2891,93,Code 9 Non-AWI
2020-01-01,S92000003,18-74,15674,506,All Delay Reasons
2020-01-01,S92000003,18-74,10993,355,Health and Social Care Reasons
2020-01-01,S92000003,18-74,275,9,Patient and Family Related Reasons
2020-01-01,S92000003,18-74,2168,70,Code 9 AWI
2020-01-01,S92000003,18-74,2238,72,Code 9 Non-AWI
2020-01-01,S92000003,75plus,31855,1028,All Delay Reasons
2020-01-01,S92000003,75plus,25755,831,Health and Social Care Reasons
2020-01-01,S92000003,75plus,1123,36,Patient and Family Related Reasons
2020-01-01,S92000003,75plus,4324,139,Code 9 AWI
2020-01-01,S92000003,75plus,653,21,Code 9 Non-AWI
2020-02-01,S08000015,18plus,4494,155,All Delay Reasons
2020-02-01,S08000015,18plus,3647,126,Health and Social Care Reasons
2020-02-01,S08000015,18plus,53,2,Patient and Family Related Reasons
2020-02-01,S08000015,18plus,534,18,Code 9 AWI
2020-02-01,S08000015,18plus,260,9,Code 9 Non-AWI
2020-02-01,S08000015,18-74,1412,49,All Delay Reasons
2020-02-01,S08000015,18-74,1158,40,Health and Social Care Reasons
2020-02-01,S08000015,18-74,0,0,Patient and Family Related Reasons
2020-02-01,S08000015,18-74,101,3,Code 9 AWI
2020-02-01,S08000015,18-74,153,5,Code 9 Non-AWI
2020-02-01,S08000015,75plus,3082,106,All Delay Reasons
2020-02-01,S08000015,75plus,2489,86,Health and Social Care Reasons
2020-02-01,S08000015,75plus,53,2,Patient and Family Related Reasons
2020-02-01,S08000015,75plus,433,15,Code 9 AWI
2020-02-01,S08000015,75plus,107,4,Code 9 Non-AWI
2020-02-01,S08000016,18plus,1230,42,All Delay Reasons
2020-02-01,S08000016,18plus,973,34,Health and Social Care Reasons
2020-02-01,S08000016,18plus,54,2,Patient and Family Related Reasons
2020-02-01,S08000016,18plus,203,7,Code 9 AWI
2020-02-01,S08000016,18plus,0,0,Code 9 Non-AWI
2020-02-01,S08000016,18-74,295,10,All Delay Reasons
2020-02-01,S08000016,18-74,208,7,Health and Social Care Reasons
2020-02-01,S08000016,18-74,29,1,Patient and Family Related Reasons
2020-02-01,S08000016,18-74,58,2,Code 9 AWI
2020-02-01,S08000016,18-74,0,0,Code 9 Non-AWI
2020-02-01,S08000016,75plus,935,32,All Delay Reasons
2020-02-01,S08000016,75plus,765,26,Health and Social Care Reasons
2020-02-01,S08000016,75plus,25,1,Patient and Family Related Reasons
2020-02-01,S08000016,75plus,145,5,Code 9 AWI
2020-02-01,S08000016,75plus,0,0,Code 9 Non-AWI
2020-02-01,S08000017,18plus,1290,44,All Delay Reasons
2020-02-01,S08000017,18plus,1009,35,Health and Social Care Reasons
2020-02-01,S08000017,18plus,53,2,Patient and Family Related Reasons
2020-02-01,S08000017,18plus,141,5,Code 9 AWI
2020-02-01,S08000017,18plus,87,3,Code 9 Non-AWI
2020-02-01,S08000017,18-74,350,12,All Delay Reasons
2020-02-01,S08000017,18-74,237,8,Health and Social Care Reasons
2020-02-01,S08000017,18-74,11,0,Patient and Family Related Reasons
2020-02-01,S08000017,18-74,15,1,Code 9 AWI
2020-02-01,S08000017,18-74,87,3,Code 9 Non-AWI
2020-02-01,S08000017,75plus,940,32,All Delay Reasons
2020-02-01,S08000017,75plus,772,27,Health and Social Care Reasons
2020-02-01,S08000017,75plus,42,1,Patient and Family Related Reasons
2020-02-01,S08000017,75plus,126,4,Code 9 AWI
2020-02-01,S08000017,75plus,0,0,Code 9 Non-AWI
2020-02-01,S08000019,18plus,2389,82,All Delay Reasons
2020-02-01,S08000019,18plus,1835,63,Health and Social Care Reasons
2020-02-01,S08000019,18plus,21,1,Patient and Family Related Reasons
2020-02-01,S08000019,18plus,365,13,Code 9 AWI
2020-02-01,S08000019,18plus,168,6,Code 9 Non-AWI
2020-02-01,S08000019,18-74,667,23,All Delay Reasons
2020-02-01,S08000019,18-74,405,14,Health and Social Care Reasons
2020-02-01,S08000019,18-74,0,0,Patient and Family Related Reasons
2020-02-01,S08000019,18-74,149,5,Code 9 AWI
2020-02-01,S08000019,18-74,113,4,Code 9 Non-AWI
2020-02-01,S08000019,75plus,1722,59,All Delay Reasons
2020-02-01,S08000019,75plus,1430,49,Health and Social Care Reasons
2020-02-01,S08000019,75plus,21,1,Patient and Family Related Reasons
2020-02-01,S08000019,75plus,216,7,Code 9 AWI
2020-02-01,S08000019,75plus,55,2,Code 9 Non-AWI
2020-02-01,S08000020,18plus,3479,120,All Delay Reasons
2020-02-01,S08000020,18plus,2925,101,Health and Social Care Reasons
2020-02-01,S08000020,18plus,95,3,Patient and Family Related Reasons
2020-02-01,S08000020,18plus,356,12,Code 9 AWI
2020-02-01,S08000020,18plus,103,4,Code 9 Non-AWI
